INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_C00;INDICADORA_C01;INDICADORA_D00;V916
76;2;;1;6;;3;355,5756016895591
76;2;;1;6;;4;527,9485891280741
76;2;;1;6;;5;460,3901954806747
76;2;;1;6;;6;120,1652936805692
76;2;;1;6;;7;161,5087761419771
76;2;;1;6;;8;76,1362528713583
76;2;;1;6;;9;95,9237004117038
76;2;;1;6;;11;327,3609855406284
76;2;;1;7;;1;19,1635249017232
76;2;;1;7;;2;23,8952873780537
76;2;;1;7;;3;7,1473140616594
76;2;;1;7;;10;2210,5678234058784
76;2;;1;8;;10;7483,9635777700353
76;2;;1;;2;1;320,5902345356588
76;2;;1;;2;2;7503,481088617789
76;2;;1;;2;3;22156,19963701774
76;2;;1;;2;4;4943,8705540811234
76;2;;1;;2;5;2435,3362783933725
76;2;;1;;2;6;256,2950066964703
76;2;;1;;2;7;155,7726893239842
76;2;;1;;2;8;79,3797260776096
76;2;;1;;2;9;24,4934952060735
76;2;;1;;2;11;7749,3768629483796
76;2;;1;;3;1;14,6390312977691
76;2;;1;;3;2;400,46450724059
76;2;;1;;3;3;2002,8162118093973
76;2;;1;;3;4;1935,5820741126164
76;2;;1;;3;5;1430,4736471335381
76;2;;1;;3;6;195,345100542689
76;2;;1;;3;7;143,7961836206473
76;2;;1;;3;8;63,9293095100775
76;2;;1;;3;9;50,8149238325565
76;2;;1;;3;11;1542,5722805076963
76;2;;1;;4;1;2734,3930786936538
76;2;;1;;4;2;7451,4498923532606
76;2;;1;;4;3;7056,8761656342867
76;2;;1;;4;4;799,2634764380431
76;2;;1;;4;5;539,4926561445167
76;2;;1;;4;6;62,9021799724858
76;2;;1;;4;7;35,8373675320475
76;2;;1;;4;8;3,3439686534485
76;2;;1;;4;9;21,8453863877777
76;2;;1;;4;10;848,0964001543242
76;2;;1;;4;11;1790,0799299105098
76;2;;2;1;;1;7376,325193821273
76;2;;2;1;;2;23472,1072924140325
76;2;;2;1;;3;23388,540534474179
76;2;;2;1;;4;5110,3696766955319
76;2;;2;1;;5;2370,2929895986423
76;2;;2;1;;6;328,4584169468569
76;2;;2;1;;7;190,5951612595116
76;2;;2;1;;8;41,6879016601207
76;2;;2;1;;9;40,3820842992713
76;2;;2;1;;10;1226,8298980518825
76;2;;2;1;;11;6254,3414874943675
76;2;;2;5;;1;3914,0487841204636
76;2;;2;5;;2;6875,163536063371
76;2;;2;5;;3;5062,7342788230021
76;2;;2;5;;4;1439,3762477355202
76;2;;2;5;;5;883,7855968723515
76;2;;2;5;;6;163,4749529447336
76;2;;2;5;;7;76,3968637034145
76;2;;2;5;;8;58,5176690264773
76;2;;2;5;;9;69,4423997249495
76;2;;2;5;;11;1374,4058364425544
76;2;;2;6;;1;10,3918078645174
76;2;;2;6;;2;119,3157401109007
76;2;;2;6;;3;281,2439291689777
76;2;;2;6;;4;271,5101993225854
76;2;;2;6;;5;225,9532530562546
76;2;;2;6;;6;50,1562766417628
76;2;;2;6;;7;89,4486706732546
76;2;;2;6;;8;34,0453088077382
76;2;;2;6;;9;16,2596805967838
76;2;;2;6;;11;119,1118113326846
76;2;;2;7;;1;3,3508047289259
76;2;;2;7;;10;4575,0587028379385
76;2;;2;8;;10;7671,0195514553477
76;2;;2;;2;1;367,1238372221353
76;2;;2;;2;2;11136,8334915546328
76;2;;2;;2;3;16055,6715622396739
76;2;;2;;2;4;2423,4672997547451
76;2;;2;;2;5;1155,2880864372564
76;2;;2;;2;6;73,7111828959517
76;2;;2;;2;7;70,3152489008374
76;2;;2;;2;8;13,7541793094817
76;2;;2;;2;9;10,33670277526
76;2;;2;;2;11;3537,4961723269471
76;2;;2;;3;1;20,9930573546756
76;2;;2;;3;2;1345,7326407128168
76;2;;2;;3;3;3336,1486346771945
76;2;;2;;3;4;2292,8673660554774
76;2;;2;;3;5;1033,9338479960093
76;2;;2;;3;6;228,3895056326633
76;2;;2;;3;7;105,4837932812263
76;2;;2;;3;8;27,933722350639
76;2;;2;;3;9;30,0453815240113
76;2;;2;;3;11;2176,065611220332
76;2;;2;;4;1;6988,2082992444621
76;2;;2;;4;2;10989,5411601465829
76;2;;2;;4;3;3996,7203375573106
76;2;;2;;4;4;394,0350108853094
76;2;;2;;4;5;181,0710551653766
76;2;;2;;4;6;26,3577284182419
76;2;;2;;4;7;14,7961190774479
76;2;;2;;4;10;1226,8298980518825
76;2;;2;;4;11;540,7797039470884
76;6;;1;1;;1;31,1620226404171
76;6;;1;1;;2;144,8898791243905
76;6;;1;1;;3;236,7206284790137
76;6;;1;1;;4;305,5575860854603
76;6;;1;1;;5;340,392408668264
76;6;;1;1;;6;148,7350153180967
76;6;;1;1;;7;112,4177435470408
76;6;;1;1;;8;49,7985014688228
76;6;;1;1;;9;49,4483674297264
76;6;;1;1;;10;14,5031305571257
76;6;;1;1;;11;292,7056332587739
76;6;;1;5;;1;20,8264613687943
76;6;;1;5;;2;147,4466790327233
76;6;;1;5;;3;168,6454721962233
76;6;;1;5;;4;126,9799047352842
76;6;;1;5;;5;78,7274401553668
76;6;;1;5;;6;40,1674820829019
76;6;;1;5;;7;53,4312575355446
76;6;;1;5;;8;11,1666787607589
76;6;;1;5;;11;92,3823874994556
76;6;;1;6;;3;16,7252406163913
76;6;;1;6;;4;8,619675917176
76;6;;1;6;;5;30,1797895385454
76;6;;1;6;;6;11,3073211382079
76;6;;1;6;;7;10,4805894897564
76;6;;1;6;;8;11,8114054752222
76;6;;1;6;;9;12,6731990915037
76;6;;1;6;;11;4,6377985719862
76;6;;1;8;;10;9,5210190906575
76;6;;1;;2;1;11,3780868633168
76;6;;1;;2;2;78,5893397315595
76;6;;1;;2;3;152,0585636625866
76;6;;1;;2;4;165,8014260150871
76;6;;1;;2;5;170,3127387671399
76;6;;1;;2;6;83,5385458715068
76;6;;1;;2;7;84,0007947737905
76;6;;1;;2;8;20,7856920826528
76;6;;1;;2;9;14,0399448063698
76;6;;1;;2;11;229,4989656547681
76;6;;1;;3;2;10,5170023901154
76;6;;1;;3;3;30,0401267717361
76;6;;1;;3;4;117,7746202655242
76;6;;1;;3;5;165,0755624020974
76;6;;1;;3;6;65,1964694465899
76;6;;1;;3;7;28,4169487732503
76;6;;1;;3;8;29,01280938617
76;6;;1;;3;9;35,4084226233566
76;6;;1;;3;11;46,1725300240545
76;6;;1;;4;1;19,7839357771003
76;6;;1;;4;2;55,7835370027156
76;6;;1;;4;3;54,621938044691
76;6;;1;;4;4;21,981539804849
76;6;;1;;4;5;5,0041074990267
76;6;;1;;4;10;14,5031305571257
76;6;;1;;4;11;17,0341375799513
76;6;;2;1;;1;49,3681259748362
76;6;;2;1;;2;193,0873163494433
76;6;;2;1;;3;424,1809518137757
76;6;;2;1;;4;295,2292997326767
76;6;;2;1;;5;451,0715762969222
76;6;;2;1;;6;92,969245447036
76;6;;2;1;;7;72,8432997759093
76;6;;2;1;;8;46,0842285426491
76;6;;2;1;;9;19,2707190459785
76;6;;2;1;;10;12,2101032455351
76;6;;2;1;;11;405,5337581471366
76;6;;2;5;;1;23,7903684297081
76;6;;2;5;;2;31,7212900036754
76;6;;2;5;;3;147,5460316128292
76;6;;2;5;;4;84,5865134567318
76;6;;2;5;;5;64,6018781901896
76;6;;2;5;;6;8,9718439930358
76;6;;2;5;;7;11,2579690308258
76;6;;2;5;;11;68,0975010719806
76;6;;2;6;;3;8,5459125750937
76;6;;2;6;;4;13,3632850325793
76;6;;2;6;;5;47,2380450080306
76;6;;2;6;;6;12,6731990915037
76;6;;2;8;;10;23,0932189952958
76;6;;2;;2;2;106,9490954395697
76;6;;2;;2;3;305,0107052264667
76;6;;2;;2;4;101,787011582759
76;6;;2;;2;5;290,8871423546671
76;6;;2;;2;6;30,0235631631793
76;6;;2;;2;7;20,9964795641033
76;6;;2;;2;8;23,7712100504905
76;6;;2;;2;9;9,6122136978795
76;6;;2;;2;11;240,9258177648541
76;6;;2;;3;2;13,2309975590527
76;6;;2;;3;3;54,8518777099834
76;6;;2;;3;4;193,4422881499177
76;6;;2;;3;5;155,1803264432284
76;6;;2;;3;6;62,9456822838567
76;6;;2;;3;7;51,846820211806
76;6;;2;;3;8;22,3130184921586
76;6;;2;;3;9;9,658505348099
76;6;;2;;3;11;144,4390921221457
76;6;;2;;4;1;49,3681259748362
76;6;;2;;4;2;72,9072233508209
76;6;;2;;4;3;64,3183688773256
76;6;;2;;4;5;5,0041074990267
76;6;;2;;4;10;12,2101032455351
76;6;;2;;4;11;20,1688482601368
76;7;;1;1;;2;5,2914188186709
76;7;;1;1;;3;105,9178062708355
76;7;;1;1;;4;24,0050949742611
76;7;;1;1;;5;22,2196469903015
76;7;;1;1;;8;12,2098710462997
76;7;;1;1;;9;9,085950698877
76;7;;1;1;;11;63,2563551737383
76;7;;1;5;;2;5,6933723225251
76;7;;1;;2;3;91,0772887895482
76;7;;1;;2;4;24,0050949742611
76;7;;1;;2;5;10,5379281089691
76;7;;1;;2;11;63,2563551737383
76;7;;1;;3;5;11,6817188813324
76;7;;1;;3;8;12,2098710462997
