INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_B01;INDICADORA_C00;INDICADORA_C01;INDICADORA_C02;INDICADORA_C03;INDICADORA_C04;INDICADORA_C05;INDICADORA_C06;INDICADORA_C07;INDICADORA_C08;INDICADORA_C09;INDICADORA_C10;V884;V878;V1883
76;;1;9999;;;;;;;;;;;10;;102881,5419114367511;4944,014704058799132705643815339724045472;365744,3929060980897
76;;1;9999;;;;;;;;;;;;8;95878,1621895196169;4727,965749864539773178497052252611427191;341409,1885323578363
76;;1;;1;9999;;;;;;;;;;;3769,9067873831541;1047,86069773309507040464231989634937255;10286,9281269558542
76;;1;;1;;1;;;;;;;;;;1584,1087082146408;942,182631032735478737756443578204840438;4540,7687413500565
76;;1;;1;;;2;;;;;;;;;2786,6419682393504;1098,313646688694948787049269233513618923;8306,276682768174
76;;1;;1;;;;3;;;;;;;;264,0365244282201;1020,712618011638882747124017077797459167;813,8576030031457
76;;1;;1;;;;;4;;;;;;;2671,3650172071791;1015,094585498270616591515858013545543447;8006,8994390284527
76;;1;;1;;;;;;5;;;;;;2736,3801168348529;1081,914468142937482490795525216373167238;7809,6032042351349
76;;1;;1;;;;;;;6;;;;;151,650859986935;1175,299913375597429307372080935781150449;568,7392007910774
76;;1;;1;;;;;;;;7;;;;208,7572640716097;1565,504017764477517961200594591303964309;600,2644235991504
76;;1;;1;;;;;;;;;9;;;637,0956975691776;1320,188317380327025290561924058919929281;1743,9981762196579
76;;1;;1;;;;;;;;;;10;;130,975296315494;1835,787881823513790050700403240503667043;458,2718801582497
76;;1;;1;;;;;;;;;;;8;80,1149768095694;1907,427433747423458225321560086360879567;172,4351751002366
76;;1;;2;9999;;;;;;;;;;;15881,6751146648676;1350,459029685778408981152751912973210101;41069,9559971512072
76;;1;;2;;1;;;;;;;;;;8046,9767251775335;1327,591387923597277091921257272855029598;21854,8018740261004
76;;1;;2;;;2;;;;;;;;;13651,8629434836787;1419,976307824310328662573487999594087096;36683,0036227024017
76;;1;;2;;;;3;;;;;;;;2606,6092120551172;1554,62872525766940484680063498493379837;7747,8398785224021
76;;1;;2;;;;;4;;;;;;;14083,734480737417;1392,117526148943819339870450012477851852;37561,8110610370285
76;;1;;2;;;;;;5;;;;;;12896,37491704411;1455,739307936033399619483283880927559447;33910,0963619731723
76;;1;;2;;;;;;;6;;;;;1036,8245364320298;1915,421593707872588341897174425247043066;2939,1366868820004
76;;1;;2;;;;;;;;7;;;;1993,3911534115331;2493,13421727625655111364316621149064341;4464,8498724338453
76;;1;;2;;;;;;;;;9;;;4150,6537032324627;1705,712828068028257008910571525801588773;10650,5728833651691
76;;1;;2;;;;;;;;;;10;;1649,1963923671426;2651,433087903403556852503633956485152994;4000,3879146006941
76;;1;;2;;;;;;;;;;;8;1260,9936261039739;2831,850655245930653385019672445204971305;2715,5589308560935
76;;1;;3;9999;;;;;;;;;;;30759,2571298656307;1457,348320217774526014498654136332842379;84254,3962462248456
76;;1;;3;;1;;;;;;;;;;16696,690282199481;1514,637672354637202623593866588525779297;46214,4785748152933
76;;1;;3;;;2;;;;;;;;;27618,0336378271601;1510,482029966533493491837155983182229798;76981,764962074026
76;;1;;3;;;;3;;;;;;;;6626,0141071284875;1815,075974581567902526041331008018221305;18855,8661973451187
76;;1;;3;;;;;4;;;;;;;28788,8841398074873;1466,374308717762986779726228407581114448;79473,5354185992986
76;;1;;3;;;;;;5;;;;;;26384,0136945177556;1530,593993388453857648940206006423488565;72998,6353999650838
76;;1;;3;;;;;;;6;;;;;3240,1555237090293;2467,418467699868004496304537008975029233;9776,1507746050522
76;;1;;3;;;;;;;;7;;;;5785,3446880539878;2310,898595095070756055136249996976241558;14569,5936514107822
76;;1;;3;;;;;;;;;9;;;10099,5576726860816;1719,983947485949921910057636834698853376;27294,9104936336535
76;;1;;3;;;;;;;;;;10;;3842,024269810845;2860,044627482662668424914207282171761731;10250,6153493476916
76;;1;;3;;;;;;;;;;;8;4111,9669270265833;2503,803038335818591103908320332438187908;10237,6294599214533
76;;1;;4;9999;;;;;;;;;;;50193,066857802633;1640,812875193522752808043208515144146762;160313,7232912555349
76;;1;;4;;1;;;;;;;;;;30771,8697752092863;1669,487523470071719290472836700903993565;98498,570469363205
76;;1;;4;;;2;;;;;;;;;46552,0862444177976;1688,88642925007869702267574533695261402;150691,3753182070357
76;;1;;4;;;;3;;;;;;;;12740,842882215441;2229,103295670497615385117840215731405908;41200,0509494150431
76;;1;;4;;;;;4;;;;;;;48676,1345370356663;1657,336269873375816567416831406757222659;156135,7380748144987
76;;1;;4;;;;;;5;;;;;;43099,707850020153;1746,101115670770048020543298676263347129;139262,9922908753718
76;;1;;4;;;;;;;6;;;;;7711,4082853773149;2534,284449133612988487173031146315598885;25949,191017798906
76;;1;;4;;;;;;;;7;;;;11519,240144693935;2678,283076600456274187668534759872285837;35698,3986452967922
76;;1;;4;;;;;;;;;9;;;17915,6545460223013;1886,65014819983797691328575326758612643;57754,79583969125
76;;1;;4;;;;;;;;;;10;;9270,9057246991041;3104,311906783653908105336024001891398561;29333,8982967406765
76;;1;;4;;;;;;;;;;;8;8439,5113961530935;2833,173479049412355931268510782781854809;25741,9858773578182
